Date,Volume,Close,High,Low,Open
2016-04-15,46873670,109.85,112.3,109.73,112.11
2016-04-18,60784920,107.48,108.95,106.94,108.89
2016-04-19,32340620,106.91,108.0,106.23,107.88
2016-04-20,30576980,107.13,108.09,106.06,106.64
2016-04-21,31416910,105.97,106.93,105.52,106.93
2016-04-22,33655810,105.68,106.48,104.62,105.01
2016-04-25,27997990,105.08,105.65,104.51,105.0
2016-04-26,52979780,104.35,105.3,103.91,103.91
2016-04-27,114436300,97.82,98.71,95.68,96.0
2016-04-28,82107120,94.83,97.88,94.25,97.61
2016-04-29,68388840,93.74,94.72,92.51,93.99
2016-05-02,47844490,93.64,94.08,92.4,93.965
2016-05-03,56770080,95.18,95.74,93.68,94.2
2016-05-04,40984160,94.19,95.9,93.82,95.2
2016-05-05,35850220,93.24,94.07,92.68,94.0
2016-05-06,43665160,92.72,93.45,91.85,93.37
2016-05-09,32895650,92.79,93.77,92.59,93.0
2016-05-10,33653020,93.42,93.57,92.11,93.33
2016-05-11,28641180,92.51,93.57,92.46,93.48
2016-05-12,76183460,90.34,92.78,89.47,92.72
2016-05-13,44223040,90.52,91.67,90.0,90.0
2016-05-16,61192340,93.88,94.39,91.65,92.39
2016-05-17,46858910,93.49,94.7,93.01,94.55
2016-05-18,42009830,94.56,95.21,93.89,94.16
2016-05-19,30417880,94.2,94.64,93.57,94.64
2016-05-20,31834020,95.22,95.43,94.52,94.64
2016-05-23,37977020,96.43,97.19,95.67,95.87
2016-05-24,35074380,97.9,98.09,96.84,97.22
2016-05-25,38258300,99.62,99.74,98.11,98.67
2016-05-26,56293490,100.41,100.73,98.64,99.68
2016-05-27,36299460,100.35,100.47,99.245,99.44
2016-05-31,42268040,99.86,100.4,98.82,99.6
2016-06-01,29139100,98.46,99.54,98.33,99.02
2016-06-02,40170200,97.72,97.84,96.63,97.6
2016-06-03,28487570,97.92,98.27,97.45,97.79
2016-06-06,23265200,98.63,101.89,97.55,97.99
2016-06-07,22378380,99.03,99.87,98.96,99.25
2016-06-08,20839950,98.94,99.56,98.68,99.02
2016-06-09,26575570,99.65,99.99,98.46,98.5
2016-06-10,31672220,98.83,99.3457,98.48,98.53
2016-06-13,37708360,97.34,99.12,97.1,98.69
2016-06-14,31890740,97.46,98.475,96.75,97.32
2016-06-15,29373050,97.14,98.41,97.03,97.82
2016-06-16,31251870,97.55,97.75,96.07,96.45
2016-06-17,60793260,95.33,96.65,95.3,96.62
2016-06-20,34355970,95.1,96.57,95.03,96.0
2016-06-21,35407050,95.91,96.35,94.676,94.94
2016-06-22,29124140,95.55,96.89,95.35,96.25
2016-06-23,32042290,96.1,96.29,95.25,95.94
2016-06-24,75219710,93.4,94.655,92.65,92.91
2016-06-27,45595680,92.04,93.05,91.5,93.0
2016-06-28,40387960,93.59,93.66,92.14,92.9
2016-06-29,36505420,94.4,94.55,93.63,93.97
2016-06-30,35783320,95.6,95.77,94.3,94.44
2016-07-01,25982080,95.89,96.465,95.33,95.49
2016-07-05,27553750,94.99,95.4,94.46,95.39
2016-07-06,30877540,95.53,95.66,94.37,94.6
2016-07-07,24460850,95.94,96.5,95.62,95.7
2016-07-08,28877500,96.68,96.89,96.05,96.49
2016-07-11,23317990,96.98,97.65,96.73,96.75
2016-07-12,24129530,97.42,97.7,97.12,97.17
2016-07-13,25879680,96.87,97.67,96.84,97.41
2016-07-14,38885980,98.79,98.99,97.32,97.39
2016-07-15,30031410,98.78,99.3,98.5,98.92
2016-07-18,36464530,99.83,100.13,98.6,98.7
2016-07-19,23766360,99.87,100.0,99.34,99.56
2016-07-20,26219110,99.96,100.46,99.735,100.0
2016-07-21,32690080,99.43,101.0,99.13,99.83
2016-07-22,28218240,98.66,99.3,98.31,99.26
