Ticker,Status
KABRAEXTRU.NS,good
ELG.BE,good
CCOP,no_data
AP2.MU,good
CIS.F,good
MDI.AX,insufficient_history
MBB.SG,good
VMC.AX,good
OPGN,insufficient_history
ACCN.MX,insufficient_history
ENZY,no_data
2330.TW,good
BNG.BA,insufficient_history
COLB,good
LTM,insufficient_history
JEN.BE,good
RAINBOWPAP.NS,insufficient_history
POLY.L,no_data
TCI.V,no_data
AIL.HA,good
1031.HK,no_data
MLGAI.PA,good
TZN.AX,good
TYE.V,no_data
ROKR,no_data
FORD,good
ANO.DE,good
RTEC,no_data
SORL,no_data
VARDMNPOLY.NS,good
MLRAM.PA,no_data
BYD-UN.TO,no_data
MMM.DU,no_data
BIG.PA,no_data
BEAT,insufficient_history
1447.TW,good
8085.HK,no_data
AJL.AX,good
IDG.TO,no_data
1828.HK,no_data
EDI.PA,good
ACR.MU,good
R6C2.DE,insufficient_history
0888.HK,good
TTS,no_data
L1OA.DU,no_data
6277.TW,good
DIGN.ST,good
TNE.AX,good
EVD.DE,good
LUS.MU,no_data
ALI.V,no_data
BDSI,no_data
HRL,good
VTLN.BE,no_data
SCON,no_data
MAYURUNIQ.NS,insufficient_history
MMXM11.SA,insufficient_history
0184.HK,good
1323.TW,good
BAYA.SG,insufficient_history
MU4.DU,no_data
WFM.DU,no_data
PRCP,no_data
DIEG.BR,good
MOFG,good
GGAL.BA,good
DR.TO,good
SBAZ,no_data
SSTK,insufficient_history
RWE3.DE,no_data
MLEMG.PA,insufficient_history
DEX.F,good
BMA.BA,good
VOLV-B.ST,good
0450.HK,good
IGL.AX,insufficient_history
SBNC.F,no_data
OSH.AX,no_data
WBAI,no_data
HCL.SG,no_data
SND.F,no_data
COF,good
TBIRD.AS,no_data
PAK.AX,no_data
NAXS.ST,good
ABNK,no_data
OII,good
ANTO.L,good
BUD.V,no_data
SGP.L,no_data
SBI.AX,no_data
HONB34.SA,insufficient_history
NBB.L,good
HEAT,insufficient_history
DPSM,no_data
PRCO-B.ST,good
U.TO,no_data
I,no_data
LMG.MI,insufficient_history
HEN3.HA,good
TRB.L,good
ICPT,no_data
ENSG,good
ENI.HA,good
VSC.DE,no_data
ELBE.AT,good
PHIA.DE,no_data
FBSI,good
1423.TW,good
DAKT,good
5GI.SI,good
2434.TW,good
TEF.L,no_data
KSC.F,good
SPI.L,insufficient_history
DISL.BR,good
DALMIABHA.NS,insufficient_history
FUM.L,good
LR.MI,no_data
PPG,good
SSM.AX,good
BSELINFRA.NS,no_data
FLK.L,good
NL,good
PRLE,no_data
ANDHRSUGAR.NS,good
HAS,good
8205.HK,good
GCLA.BA,good
MSG,no_data
HHWW,no_data
FILA.MI,insufficient_history
CEREBRAINT.NS,insufficient_history
ISRL,insufficient_history
CEMI,no_data
SPKE,no_data
QPT.V,good
ISPN.MX,insufficient_history
EDEN.L,insufficient_history
1130.HK,good
MED.AX,good
KCO.F,good
AZN.L,good
AVGO,good
N7G.MU,no_data
ZIOP,no_data
0604.HK,good
MORN,good
GULFPETRO.NS,good
DWARKESH.NS,good
EVI,good
PVP.NS,good
AMID,insufficient_history
TQIR.SG,insufficient_history
2700.HK,good
CSX.HA,no_data
BLUECOAST.NS,good
UTW.L,no_data
ACCB.BR,good
IDAH,no_data
GBF.MU,good
U9R.SG,insufficient_history
APT.AX,no_data
DUFNN.MX,insufficient_history
SATS,good
OPC.DE,good
EGOV,no_data
EBF,good
ICNB,good
SXC,insufficient_history
MUB.SG,good
QUAD,insufficient_history
BBDN.MX,insufficient_history
GIL.BE,good
ELECTCAST.NS,good
MAD.V,no_data
SHRIRAMCIT.NS,no_data
BONG.ST,good
SSLN.MX,insufficient_history
1053.HK,good
NOAA.F,good
CLA-B.ST,good
SUM.NZ,insufficient_history
ITG,no_data
ABAN.NS,good
MCAR,no_data
IMSK.OL,good
NGT.OL,no_data
ACS.MC,good
1051.HK,good
CNTO,insufficient_history
TPFZ.L,insufficient_history
CACQ,no_data
CAJ,no_data
1532.TW,good
HATSUN.NS,insufficient_history
MINI,no_data
ESRX.MX,insufficient_history
TGS.OL,good
TECHNO.NS,no_data
CEON.MX,no_data
LCR.F,good
CMC.MU,good
JEN.SG,good
SEV.PA,no_data
GENI.ST,good
ASK.PA,no_data
JPEX,insufficient_history
5EG.SI,good
GFRD.L,good
PRECWIRE.NS,good
GUID,no_data
ADN1.BE,good
GAEL.NS,good
SIX2.DE,good
GBF.HA,good
NICCO.NS,good
FOH.DE,insufficient_history
VSC.F,good
GPH1.MX,good
CELG,no_data
0836.HK,good
DODS.L,no_data
PXS.AX,no_data
BC8.DU,good
COR,good
GIL.DU,good
SSUN.F,good
MOS.L,good
DGC.TO,no_data
MRM.AX,good
ANDA,no_data
FIVN,insufficient_history
GMD.AX,good
DXR,good
SHLX,no_data
1809.TW,good
IS8.F,no_data
MOC.AX,no_data
HAW.DU,good
RDI.TO,no_data
NAV,no_data
AMB.AX,no_data
CACC,good
ADO.AX,good
MUVB.DE,insufficient_history
LEJU,no_data
5EB.SI,good
PMA.V,good
SRE,good
ED4.DE,insufficient_history
LEI.SG,good
ORAP.PA,no_data
GS7.F,no_data
K1R.DU,no_data
NANO.OL,no_data
MBB.BE,good
CRHN.MX,no_data
CNF.PA,no_data
LBIX,no_data
GPR.AX,good
SPN.V,insufficient_history
AGRODUTCH.NS,good
2480.TW,good
BCN.V,good
DEZ.BE,good
EVOK,insufficient_history
IB8.AX,insufficient_history
PTC.NS,good
1072.HK,good
BIO.HA,good
DMGT.L,no_data
AHH,insufficient_history
CCC3.DE,good
DASA3.SA,good
TRAC-B.ST,good
ALMIC.PA,no_data
RSW.L,good
LOXO,no_data
TZOO,good
PDGR3.SA,good
WYNN,good
SCHL,good
SFA.AT,no_data
AKR.V,insufficient_history
VINATIORGA.NS,good
BSDK.BE,good
COSMOFILMS.NS,no_data
GLGI,good
SAP.F,good
IU2.F,good
HYQ.DU,good
MT.MI,no_data
ISH2.MU,no_data
WGB.L,no_data
URBI.MX,good
HILS.L,good
ORA,good
EBAY34.SA,insufficient_history
RESPONIND.NS,insufficient_history
MS7.SI,insufficient_history
SNYR,insufficient_history
NEWCAP.CO,good
SHV.AX,no_data
AEV.AX,good
N7G.F,no_data
BAS.F,good
INEP4.SA,good
5IE.SI,good
MUX.F,good
SPX.AX,good
VIPRO.CO,no_data
ZJS1.F,insufficient_history
RMG.L,no_data
OSN,no_data
KWE.L,no_data
LIXC3.SA,no_data
TXJK,no_data
VLX.L,good
HAGA4.SA,good
ELN.V,no_data
TTI.DE,no_data
JNJB34.SA,insufficient_history
CMH.L,no_data
DEX.DU,good
DOHL4.SA,good
SHEN,good
LUMAXAUTO.NS,good
BGIP4.SA,good
BBY.L,good
6176.TW,good
