gvkey,datadate,cshtrd,prccd,prchd,prcld,prcod
001690,2000-09-11,3345600.00000000,58.43750000,60.37500000,58.12500000,
001690,2000-09-12,3357100.00000000,57.75000000,60.06250000,57.00000000,
001690,2000-09-13,5464000.00000000,58.00000000,59.50000000,56.75000000,
001690,2000-09-14,7617000.00000000,56.85937500,59.62500000,56.81250000,
001690,2000-09-15,7044900.00000000,55.23437500,58.18750000,54.25000000,
001690,2000-09-18,7579400.00000000,60.65625000,60.75000000,55.06250000,
001690,2000-09-19,4852500.00000000,59.93750000,60.50000000,58.56250000,
001690,2000-09-20,4060500.00000000,61.04687500,61.43750000,58.56250000,
001690,2000-09-21,9083800.00000000,56.68750000,59.62500000,55.25000000,
001690,2000-09-22,12975700.00000000,52.18750000,52.43750000,50.00000000,
001690,2000-09-25,7775000.00000000,53.50000000,55.50000000,52.06250000,
001690,2000-09-26,5195300.00000000,51.43750000,54.75000000,51.37500000,
001690,2000-09-27,7183200.00000000,48.93750000,52.75000000,48.25000000,
001690,2000-09-28,13377200.00000000,53.50000000,53.81250000,48.12500000,
001690,2000-09-29,132568500.00000000,25.75000000,29.00000000,25.37500000,
001690,2000-10-02,43285900.00000000,24.25000000,26.75000000,23.50000000,
001690,2000-10-03,36380500.00000000,22.31250000,25.00000000,22.18750000,
001690,2000-10-04,26177100.00000000,23.62500000,23.75000000,21.87500000,
001690,2000-10-05,15588100.00000000,22.06250000,24.50000000,22.00000000,
001690,2000-10-06,10937400.00000000,22.18750000,22.93750000,21.00000000,
001690,2000-10-09,10668100.00000000,21.75000000,22.87500000,21.12500000,
001690,2000-10-10,12335800.00000000,20.87500000,22.43750000,20.50000000,
001690,2000-10-11,21400300.00000000,19.62500000,21.00000000,19.12500000,
001690,2000-10-12,21250300.00000000,20.00000000,20.81250000,19.50000000,
001690,2000-10-13,22268000.00000000,22.06250000,22.12500000,20.00000000,
001690,2000-10-16,14645600.00000000,21.50000000,23.25000000,21.37500000,
001690,2000-10-17,10741100.00000000,20.12500000,21.93750000,19.68750000,
001690,2000-10-18,14441600.00000000,20.12500000,21.06250000,18.75000000,
001690,2000-10-19,26863000.00000000,18.93750000,19.81250000,18.31250000,
001690,2000-10-20,14123800.00000000,19.50000000,20.37500000,18.93750000,
001690,2000-10-23,9840400.00000000,20.37500000,20.56250000,19.43750000,
001690,2000-10-24,14350100.00000000,18.87500000,20.87500000,18.81250000,
001690,2000-10-25,11854800.00000000,18.50000000,19.18750000,18.43750000,
001690,2000-10-26,12884700.00000000,18.50000000,18.87500000,17.50000000,
001690,2000-10-27,13293200.00000000,18.56250000,19.18750000,17.87500000,
001690,2000-10-30,11413300.00000000,19.31250000,19.93750000,18.75000000,
001690,2000-10-31,15818200.00000000,19.56250000,20.25000000,19.25000000,
001690,2000-11-01,10267300.00000000,20.50000000,20.87500000,19.43750000,
001690,2000-11-02,10546000.00000000,22.31250000,22.43750000,21.06250000,
001690,2000-11-03,9210100.00000000,22.25000000,23.00000000,21.93750000,
001690,2000-11-06,7025900.00000000,21.43750000,22.62500000,20.87500000,
001690,2000-11-07,5391700.00000000,21.31250000,21.81250000,20.81250000,
001690,2000-11-08,7536500.00000000,20.06250000,21.43750000,19.81250000,
001690,2000-11-09,8511000.00000000,20.18750000,20.50000000,19.06250000,
001690,2000-11-10,7539300.00000000,19.06250000,19.87500000,19.06250000,
001690,2000-11-13,7709800.00000000,19.37500000,20.00000000,18.25000000,
001690,2000-11-14,7299800.00000000,20.25000000,20.50000000,19.56250000,
001690,2000-11-15,5040800.00000000,19.87500000,20.18750000,19.25000000,
001690,2000-11-16,4270800.00000000,19.00000000,19.81250000,18.87500000,
001690,2000-11-17,7958100.00000000,18.50000000,19.25000000,18.25000000,
001690,2000-11-20,7286300.00000000,18.93750000,19.50000000,18.25000000,
001690,2000-11-21,5390300.00000000,18.81250000,19.50000000,18.75000000,
001690,2000-11-22,5009000.00000000,18.50000000,19.12500000,18.37500000,
001690,2000-11-24,2870700.00000000,19.31250000,19.50000000,18.81250000,
001690,2000-11-27,4620300.00000000,18.68750000,19.93750000,18.50000000,
001690,2000-11-28,4803100.00000000,18.03125000,19.00000000,17.93750000,
001690,2000-11-29,8653300.00000000,17.56250000,18.31250000,17.25000000,
001690,2000-11-30,14453800.00000000,16.50000000,17.00000000,16.12500000,
001690,2000-12-01,6886200.00000000,17.06250000,17.50000000,16.81250000,
001690,2000-12-04,6633100.00000000,16.68750000,17.18750000,16.43750000,
001690,2000-12-05,10173300.00000000,17.00000000,17.43750000,16.37500000,
001690,2000-12-06,24541000.00000000,14.31250000,15.00000000,14.00000000,
001690,2000-12-07,7212500.00000000,14.31250000,14.87500000,14.00000000,
001690,2000-12-08,7776700.00000000,15.06250000,15.31250000,14.43750000,
001690,2000-12-11,5936100.00000000,15.18750000,15.37500000,14.87500000,
001690,2000-12-12,6895100.00000000,15.37500000,16.00000000,15.00000000,
001690,2000-12-13,6158300.00000000,15.00000000,15.56250000,14.87500000,
001690,2000-12-14,4700400.00000000,14.43750000,15.25000000,14.43750000,
001690,2000-12-15,9150300.00000000,14.06250000,14.68750000,14.00000000,
001690,2000-12-18,5817800.00000000,14.25000000,14.62500000,13.93750000,
001690,2000-12-19,6673700.00000000,14.00000000,15.25000000,14.00000000,
001690,2000-12-20,10095200.00000000,14.37500000,14.62500000,13.62500000,
001690,2000-12-21,6550900.00000000,14.06250000,15.00000000,13.87500000,
001690,2000-12-22,5680100.00000000,15.00000000,15.00000000,14.12500000,
001690,2000-12-26,3871600.00000000,14.68750000,15.00000000,14.25000000,
001690,2000-12-27,5811900.00000000,14.81250000,14.81250000,14.18750000,
001690,2000-12-28,5447500.00000000,14.81250000,14.93750000,14.31250000,
001690,2000-12-29,11254300.00000000,14.87500000,15.00000000,14.50000000,
001690,2001-01-02,8076000.00000000,14.87500000,15.25000000,14.56250000,
001690,2001-01-03,14587700.00000000,16.37500000,16.68750000,14.43750000,
001690,2001-01-04,13200900.00000000,17.06250000,18.50000000,16.81250000,
001690,2001-01-05,7363300.00000000,16.37500000,17.37500000,16.06250000,
001690,2001-01-08,6669100.00000000,16.56250000,16.98437500,15.93750000,
001690,2001-01-09,10510300.00000000,17.18750000,17.64062500,16.56250000,
001690,2001-01-10,10369900.00000000,16.56250000,17.00000000,16.06250000,
001690,2001-01-11,14344900.00000000,18.00000000,18.50000000,16.25000000,
001690,2001-01-12,7559200.00000000,17.18750000,18.00000000,17.06250000,
001690,2001-01-16,5443500.00000000,17.12500000,18.25000000,17.00000000,
001690,2001-01-17,14946800.00000000,16.81250000,17.56250000,16.50000000,
001690,2001-01-18,21896400.00000000,18.68750000,18.75000000,17.62500000,
001690,2001-01-19,13866500.00000000,19.50000000,19.56250000,18.68750000,
001690,2001-01-22,9273000.00000000,19.25000000,19.62500000,18.43750000,
001690,2001-01-23,15697200.00000000,20.50000000,20.93750000,19.06250000,
001690,2001-01-24,12804600.00000000,20.50000000,20.68750000,19.56250000,
001690,2001-01-25,8742000.00000000,19.93750000,20.56250000,19.75000000,
001690,2001-01-26,8620900.00000000,19.56250000,19.81250000,19.06250000,
001690,2001-01-29,15273100.00000000,21.68750000,21.75000000,19.56250000,
001690,2001-01-30,12363200.00000000,21.75000000,22.00000000,20.87500000,
001690,2001-01-31,13040200.00000000,21.62500000,22.50000000,21.43750000,
001690,2001-02-01,6625500.00000000,21.12500000,21.50000000,20.50000000,
001690,2001-02-02,7630800.00000000,20.62500000,21.93750000,20.50000000,
001690,2001-02-05,5825200.00000000,20.18750000,20.56250000,19.75000000,
001690,2001-02-06,8258700.00000000,21.12500000,21.43750000,20.00000000,
001690,2001-02-07,7032800.00000000,20.75000000,20.87500000,19.81250000,
001690,2001-02-08,10788000.00000000,20.75000000,21.06250000,20.18750000,
001690,2001-02-09,10536700.00000000,19.12500000,20.81250000,18.68750000,
001690,2001-02-12,4894500.00000000,19.68750000,20.00000000,18.81250000,
001690,2001-02-13,4233400.00000000,19.12500000,20.43750000,19.00000000,
001690,2001-02-14,5520000.00000000,19.50000000,19.62500000,18.50000000,
001690,2001-02-15,5560300.00000000,20.06250000,20.56250000,19.68750000,
001690,2001-02-16,4712100.00000000,19.00000000,19.50000000,18.75000000,
001690,2001-02-20,5623200.00000000,18.31250000,19.43750000,18.18750000,
001690,2001-02-21,6968000.00000000,18.87500000,19.93750000,18.25000000,
001690,2001-02-22,7714600.00000000,18.81250000,19.37500000,18.00000000,
001690,2001-02-23,5244500.00000000,18.81250000,18.87500000,18.25000000,
001690,2001-02-26,3686100.00000000,19.50000000,19.68750000,18.56250000,
001690,2001-02-27,6223400.00000000,19.37500000,19.43750000,18.68750000,
001690,2001-02-28,9075600.00000000,18.25000000,19.43750000,18.12500000,
001690,2001-03-01,5900200.00000000,18.75000000,18.75000000,17.18750000,
001690,2001-03-02,7253600.00000000,19.25000000,20.43750000,18.25000000,
001690,2001-03-05,5788600.00000000,20.37500000,20.50000000,19.12500000,
001690,2001-03-06,13066400.00000000,21.50000000,22.06250000,20.68750000,
001690,2001-03-07,7491200.00000000,21.25000000,21.62500000,20.75000000,
001690,2001-03-08,3655900.00000000,20.81250000,21.12500000,20.43750000,
001690,2001-03-09,5341700.00000000,20.25000000,20.68750000,20.00000000,
001690,2001-03-12,6981800.00000000,18.62500000,19.87500000,18.12500000,
001690,2001-03-13,7915100.00000000,19.56250000,19.56250000,18.18750000,
001690,2001-03-14,8530900.00000000,20.43750000,20.50000000,18.43750000,
001690,2001-03-15,9452000.00000000,19.68750000,21.37500000,19.68750000,
001690,2001-03-16,8401400.00000000,19.62500000,20.31250000,18.87500000,
001690,2001-03-19,6356300.00000000,20.56250000,20.62500000,19.50000000,
001690,2001-03-20,8914400.00000000,19.68750000,20.93750000,19.68750000,
001690,2001-03-21,6636900.00000000,20.12500000,20.87500000,19.37500000,
001690,2001-03-22,12917800.00000000,21.62500000,21.75000000,20.18750000,
001690,2001-03-23,16872700.00000000,23.00000000,23.56250000,22.00000000,
001690,2001-03-26,13115200.00000000,21.78000000,23.75000000,21.13000000,
001690,2001-03-27,9710900.00000000,22.87000000,23.05000000,21.90000000,
001690,2001-03-28,10450100.00000000,22.17000000,22.50000000,21.50000000,
001690,2001-03-29,10947500.00000000,22.53000000,23.45000000,21.50000000,
001690,2001-03-30,7146800.00000000,22.07000000,22.72000000,21.34000000,
001690,2001-04-02,6089600.00000000,21.59000000,22.66000000,21.40000000,
001690,2001-04-03,6582600.00000000,20.24000000,21.40000000,20.13000000,
001690,2001-04-04,12235500.00000000,19.50000000,20.25000000,18.75000000,
001690,2001-04-05,7976600.00000000,20.87000000,22.50000000,20.00000000,
001690,2001-04-06,5801500.00000000,20.59000000,21.04000000,19.90000000,
001690,2001-04-09,4760400.00000000,20.54000000,21.34000000,20.06000000,
001690,2001-04-10,8167400.00000000,22.04000000,22.70000000,20.78000000,
001690,2001-04-11,5964300.00000000,21.80000000,23.00000000,21.28000000,
001690,2001-04-12,5338000.00000000,22.42000000,23.02000000,21.15000000,
001690,2001-04-16,5092800.00000000,21.44000000,22.40000000,20.86000000,
001690,2001-04-17,12227200.00000000,20.40000000,21.21000000,19.60000000,
001690,2001-04-18,19574300.00000000,22.79000000,24.08000000,21.08000000,
001690,2001-04-19,33455200.00000000,25.72000000,25.75000000,23.60000000,
001690,2001-04-20,12381700.00000000,25.04000000,25.63000000,24.60000000,
001690,2001-04-23,9665800.00000000,24.25000000,25.00000000,24.00000000,
001690,2001-04-24,6734100.00000000,24.03000000,25.00000000,23.51000000,
001690,2001-04-25,5906800.00000000,24.72000000,24.86000000,23.57000000,
001690,2001-04-26,14279300.00000000,24.69000000,26.10000000,24.68000000,
001690,2001-04-27,8308000.00000000,26.20000000,26.29000000,24.75000000,
001690,2001-04-30,8835000.00000000,25.49000000,27.12000000,24.87000000,
001690,2001-05-01,7628100.00000000,25.93000000,26.50000000,25.20000000,
001690,2001-05-02,6580800.00000000,26.59000000,26.70000000,25.76000000,
001690,2001-05-03,5384400.00000000,24.96000000,26.25000000,24.73000000,
001690,2001-05-04,5018800.00000000,25.75000000,25.85000000,23.96000000,
001690,2001-05-07,4936500.00000000,24.96000000,25.76000000,24.84000000,
001690,2001-05-08,5632900.00000000,24.57000000,25.45000000,23.95000000,
001690,2001-05-09,5801500.00000000,23.98000000,24.55000000,23.67000000,
001690,2001-05-10,5159300.00000000,23.00000000,24.50000000,22.95000000,
001690,2001-05-11,3625800.00000000,22.85000000,23.49000000,22.76000000,
001690,2001-05-14,5527300.00000000,23.29000000,23.68000000,22.75000000,
001690,2001-05-15,4232600.00000000,23.18000000,24.85000000,23.04000000,
001690,2001-05-16,5755900.00000000,24.10020000,24.50000000,22.85000000,
001690,2001-05-17,5931700.00000000,23.55000000,24.33000000,23.25000000,
001690,2001-05-18,2843000.00000000,23.53000000,23.64000000,23.12000000,
001690,2001-05-21,8292300.00000000,23.56000000,23.91000000,23.05000000,
001690,2001-05-22,7372800.00000000,23.50000000,24.13000000,23.40000000,
001690,2001-05-23,5018600.00000000,23.23000000,23.75000000,22.86000000,
001690,2001-05-24,4852700.00000000,23.20000000,23.30000000,22.62000000,
001690,2001-05-25,2834700.00000000,22.76000000,23.29000000,22.50000000,
001690,2001-05-29,9214100.00000000,21.47000000,22.50000000,20.81000000,
001690,2001-05-30,13876400.00000000,19.78000000,20.76000000,19.30000000,
001690,2001-05-31,7908800.00000000,19.95000000,20.24000000,19.49000000,
001690,2001-06-01,8143200.00000000,20.89000000,21.09000000,19.98000000,
001690,2001-06-04,5034700.00000000,20.66000000,21.11000000,20.46000000,
001690,2001-06-05,8424800.00000000,20.94000000,21.10000000,20.35000000,
001690,2001-06-06,3985900.00000000,20.73000000,20.93000000,20.33000000,
001690,2001-06-07,5806300.00000000,21.66000000,21.70000000,20.45000000,
001690,2001-06-08,6116100.00000000,21.32000000,21.65000000,20.71000000,
001690,2001-06-11,5138100.00000000,20.04000000,21.07000000,19.95000000,
001690,2001-06-12,5424900.00000000,20.31000000,20.69000000,19.76000000,
001690,2001-06-13,9132800.00000000,20.47000000,21.73000000,20.06000000,
001690,2001-06-14,5310100.00000000,19.88000000,20.45000000,19.77000000,
001690,2001-06-15,8118300.00000000,20.44000000,20.75000000,19.35000000,
001690,2001-06-18,6177000.00000000,20.33000000,20.85000000,20.00000000,
001690,2001-06-19,5734400.00000000,20.19000000,21.40000000,20.01000000,
001690,2001-06-20,7707500.00000000,21.67000000,21.85000000,19.98000000,
001690,2001-06-21,6066900.00000000,22.49000000,23.00000000,21.10000000,
001690,2001-06-22,5107600.00000000,22.26000000,23.00000000,21.76000000,
001690,2001-06-25,7849100.00000000,23.99000000,24.00000000,22.45000000,
001690,2001-06-26,4871400.00000000,23.75000000,23.77000000,23.01000000,
001690,2001-06-27,6680900.00000000,23.34000000,24.00000000,22.50000000,
001690,2001-06-28,6221800.00000000,23.54000000,23.91000000,22.94000000,
001690,2001-06-29,10073000.00000000,23.25000000,25.10000000,23.20000000,
001690,2001-07-02,4108100.00000000,23.90000000,24.23000000,23.14000000,
001690,2001-07-03,2009600.00000000,23.84000000,24.18000000,23.50000000,
001690,2001-07-05,2718700.00000000,23.19000000,23.77000000,23.01000000,
001690,2001-07-06,5409300.00000000,22.03000000,22.96000000,21.72000000,
001690,2001-07-09,6026200.00000000,22.70000000,23.00000000,21.68000000,
001690,2001-07-10,7058400.00000000,21.14000000,23.07000000,20.84000000,
001690,2001-07-11,8401200.00000000,22.54000000,22.55000000,21.00000000,
001690,2001-07-12,10978600.00000000,24.36000000,24.81000000,23.30000000,
001690,2001-07-13,8120200.00000000,24.85000000,25.01000000,23.84000000,
001690,2001-07-16,4976200.00000000,23.96000000,25.10000000,23.91000000,
001690,2001-07-17,11539900.00000000,25.10000000,25.22000000,23.01000000,
001690,2001-07-18,20303300.00000000,20.79000000,22.78000000,20.42000000,
001690,2001-07-19,15377100.00000000,19.96000000,21.42000000,19.75000000,
001690,2001-07-20,7939900.00000000,19.98000000,20.06000000,19.49000000,
001690,2001-07-23,4310000.00000000,19.54000000,20.50000000,19.51000000,
001690,2001-07-24,6219800.00000000,19.09000000,19.92000000,18.73000000,
001690,2001-07-25,7928500.00000000,18.47000000,19.30000000,17.97000000,
001690,2001-07-26,6614300.00000000,18.59000000,18.80000000,17.85200000,
